,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL FUNC,,,31.88636364,,,,,,,,,,,,,,,,,,,,,,,,,
,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,TOTAL HS,MÉDIA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPÓSITO,Número de Funcionários necessário:,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
TER,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
QUA,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
QUI,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
SEX,,,,,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,16:00:00,08:00:00,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88:00:00,44:00:00,
MARKETING,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
SEX,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
ESCRITORIO,Número de Funcionários necessário:,,,,,,,3.30681818,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
TER,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
QUA,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
QUI,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,2,,,,,29:00:00,08:46:11,
SEX,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,3,3,2,,,,,28:00:00,08:28:02,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145:30:00,44:00:00,
LIMPEZA,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
TER,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUA,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUI,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SEX,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SAB,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,,,09:00:00,09:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
CAIXAS,Número de Funcionários necessário:,,,,,,,4.27272727,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
TER,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
QUA,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
QUI,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
SEX,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
SAB,,,,,,,2,2,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,,39:00:00,09:07:39,
DOM,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,09:00:00,04:30:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188:00:00,46:23:37,
PANIFICAÇÃO,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
SEX,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
SAB,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
CONFEITARIA,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SEX,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,08:00:00,08:00:00,
SAB,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,08:00:00,08:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
SALGADERIA,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SEX,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,08:00:00,08:00:00,
SAB,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,08:00:00,08:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
ROTISSERIA,Número de Funcionários necessário:,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,,13:00:00,04:20:00,
TER,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,,13:00:00,04:20:00,
QUA,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,14:00:00,04:40:00,
QUI,,,,,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,,,,,,,,,25:00:00,08:20:00,
SEX,,,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,,,,,,,,,28:00:00,09:20:00,
SAB,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,,,,,,,,,29:00:00,09:40:00,
DOM,,,,1,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,10:00:00,05:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132:00:00,45:40:00,
AÇOUGUE,Número de Funcionários necessário:,,,,,,,3.54545455,39:00:00,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,25:00:00,07:03:04,
TER,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,25:00:00,07:03:04,
QUA,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,25:00:00,07:03:04,
QUI,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,25:00:00,07:03:04,
SEX,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,25:00:00,07:03:04,
SAB,,,,,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,31:00:00,08:44:36,
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156:00:00,44:00:00,
ATEND PADARIA,Número de Funcionários necessário:,,,,,,,3.43181818,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,3,3,3,3,2,2,,23:30:00,06:50:51,
TER,,,,,,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,,21:30:00,06:15:53,
QUA,,,,,,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,3,3,3,3,2,2,,23:30:00,06:50:51,
QUI,,,,,,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,3,3,3,3,2,2,,23:30:00,06:50:51,
SEX,,,,,,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,3,3,3,3,2,2,,23:30:00,06:50:51,
SAB,,,,,,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,,25:30:00,07:25:49,
DOM,,,,1,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,10:00:00,10:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151:00:00,51:05:09,
REPOSIÇÃO,Número de Funcionários necessário:,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,1,1,1,1,,,33:00:00,08:15:00,
TER,,,,,,,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,1,1,1,1,,,33:00:00,08:15:00,
QUA,,,,,,,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,1,1,1,1,,,33:00:00,08:15:00,
QUI,,,,,,,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,1,1,1,1,,,33:00:00,08:15:00,
SEX,,,,,,,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,1,1,1,1,,,33:00:00,08:15:00,
SAB,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,11:00:00,02:45:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176:00:00,44:00:00,
MOTORISTA,Número de Funcionários necessário:,,,,,,,1.04545455,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,07:30:00,07:10:26,
TER,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,07:30:00,07:10:26,
QUA,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,07:30:00,07:10:26,
QUI,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,07:30:00,07:10:26,
SEX,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,07:30:00,07:10:26,
SAB,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,08:30:00,08:07:49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46:00:00,44:00:00,
EMBALADOR,Número de Funcionários necessário:,,,,,,,2.28409091,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
TER,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
QUA,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
QUI,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
SEX,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
SAB,,,,,,,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,1,,25:30:00,11:09:51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100:30:00,44:00:00,
COMPRAS,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
LOJA,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
SAC,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
